ORIGIN_SUBZONE,distance_bin,COUNT
1101061.0,16.0,21547.8888449
1101061.0,17.0,5940.050846342793
1101063.0,0.0,171307.71344489072
1101063.0,1.0,212901.73288905926
1101063.0,2.0,89683.9142590873
1101063.0,3.0,70809.6366707061
1101063.0,4.0,69466.1772319544
1101063.0,5.0,82221.19200209087
1101063.0,6.0,56911.34612522594
1101063.0,7.0,74834.02401400267
1101063.0,8.0,70749.02066492137
1101063.0,9.0,69002.58548359359
1101063.0,10.0,43085.85818832701
1101063.0,11.0,29706.258446714604
1101063.0,12.0,19163.05077558092
1101063.0,13.0,16915.398827458812
1101063.0,14.0,16033.356568228639
1101063.0,15.0,15016.637361524163
1101063.0,16.0,5662.81764992812
1101063.0,17.0,1656.8268755816284
1101063.0,18.0,1170.219619672481
1101064.0,0.0,250718.50997391978
1101064.0,1.0,301499.8616138039
1101064.0,2.0,169929.20445922192
1101064.0,3.0,91532.89217857369
1101064.0,4.0,117950.83881656588
1101064.0,5.0,66243.5155494423
1101064.0,6.0,98769.24641679831
1101064.0,7.0,101816.80290608005
1101064.0,8.0,85906.68568805192
1101064.0,9.0,84836.79613103783
1101064.0,10.0,82406.6189495893
1101064.0,11.0,36452.85501925667
1101064.0,12.0,38933.437889993285
1101064.0,13.0,35482.5824331791
1101064.0,14.0,26239.546875203727
1101064.0,15.0,16653.496852289
1101064.0,16.0,14867.35614059225
1101064.0,17.0,1248.0164301856776
1101064.0,18.0,2614.7660062495784
1101067.0,0.0,137777.0529403476
1101067.0,1.0,80676.39228610271
1101067.0,2.0,58160.201679763646
1101067.0,3.0,36052.09200941731
1101067.0,4.0,29700.446343734115
1101067.0,5.0,27685.81229596519
1101067.0,6.0,26519.53941434619
1101067.0,7.0,19320.15264914541
1101067.0,8.0,21260.258084005713
1101067.0,9.0,24859.793031820394
1101067.0,10.0,14893.26155374057
1101067.0,11.0,7685.914766936821
1101067.0,12.0,6263.628662687274
1101067.0,13.0,6577.390295262689
1101067.0,14.0,4560.941674367631
1101067.0,15.0,3858.706666159931
1101067.0,16.0,2233.5223929350923
1101067.0,17.0,1166.2223768707527
1101067.0,18.0,414.13774872805607
1101067.0,19.0,278.62143400797953
1101068.0,0.0,80554.48280887266
1101068.0,1.0,78643.37609456028
1101068.0,2.0,25098.355683771573
1101068.0,3.0,17559.456977108224
1101068.0,4.0,12279.123151138734
1101068.0,5.0,11598.625839846783
1101068.0,6.0,11031.51237938917
1101068.0,7.0,9680.959594402862
1101068.0,8.0,9451.715117820268
1101068.0,9.0,10303.007174728578
1101068.0,10.0,6640.188568722554
1101068.0,11.0,4647.694171783945
1101068.0,12.0,3733.7032728750414
1101068.0,13.0,2208.2180756916905
1101068.0,14.0,2693.5691884342004
1101068.0,15.0,2102.924514325664
1101068.0,16.0,476.55564587528784
1101068.0,17.0,342.77615554958277
1101068.0,18.0,249.2705879878405
1101068.0,19.0,209.92067289146476
1101069.0,0.0,40755.30028829873
1101069.0,1.0,26773.48921813437
1101069.0,2.0,17736.470900038406
1101069.0,3.0,9685.864032245254
1101069.0,4.0,6163.0722204297335
1101069.0,5.0,7628.389312073647
1101069.0,6.0,4899.348950196322
1101069.0,7.0,3866.190602362686
1101069.0,8.0,5459.735499627886
1101069.0,9.0,3571.4772313082494
1101069.0,10.0,3309.8436194656115
1101069.0,11.0,2186.0740269436624
1101069.0,12.0,1999.3662301622883
1101069.0,13.0,645.9564804026219
1101069.0,14.0,1634.6188554538232
1101069.0,15.0,528.1435112249461
1101069.0,16.0,454.36849036880295
1101069.0,17.0,405.0589529806853
1101069.0,18.0,25.915229694804683
1101069.0,19.0,144.63415529330973
1101070.0,0.0,68177.61981654156
1101070.0,1.0,82764.70773240307
1101070.0,2.0,32221.37040918003
1101070.0,3.0,16561.71290696981
1101070.0,4.0,18913.085892100178
1101070.0,5.0,15146.20952395391
1101070.0,6.0,14188.564815135807
1101070.0,7.0,9612.705302414322
1101070.0,8.0,11390.336734444214
1101070.0,9.0,9859.69041232871
1101070.0,10.0,7035.206912231931
1101070.0,11.0,4005.804801876717
1101070.0,12.0,3057.716173940323
1101070.0,13.0,1526.3154654229713
1101070.0,14.0,4033.5734593139127
1101070.0,15.0,1874.858885282718
1101070.0,16.0,1232.314868918268
1101070.0,17.0,747.1651068937036
1101070.0,18.0,146.13006652009835
1101070.0,19.0,126.17591422328788
1101071.0,0.0,120021.48374278977
1101071.0,1.0,184458.62951182088
1101071.0,2.0,84682.9128446962
1101071.0,3.0,38745.970299272405
1101071.0,4.0,44922.19674614203
1101071.0,5.0,45086.970145852094
1101071.0,6.0,38596.40959308383
1101071.0,7.0,31094.25475490217
1101071.0,8.0,27825.851506138493
1101071.0,9.0,37234.306230494476
1101071.0,10.0,21884.940066992593
1101071.0,11.0,15398.183632061267
1101071.0,12.0,8317.03941306887
1101071.0,13.0,9377.155161689463
1101071.0,14.0,9543.487358908902
1101071.0,15.0,6011.233365246223
1101071.0,16.0,5439.214100567473
1101071.0,17.0,4352.461161348046
1101071.0,18.0,325.7429100343164
1101071.0,19.0,939.5372971687459
1101071.0,20.0,542.6096577793469
1101072.0,1.0,220575.63589461625
1101072.0,2.0,157030.21977204233
1101072.0,3.0,89299.02437315244
1101072.0,4.0,41489.08733995638
1101072.0,5.0,54105.06927755762
1101072.0,6.0,37005.93608133701
1101072.0,7.0,24925.555393202343
1101072.0,8.0,28551.710334542924
1101072.0,9.0,25253.220728748467
