Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
KLSZ05,0.6040825230045518,0.6229359923755324,0.7347279684113125,0.8341728981379768,0.3132180868254437,-7.175988776440761,0.37698125547538,-2.0318310985059767,0.7275499281385083,0.8142181503996786,0.6828541793883969,0.7822299261630157
MPSZ01,0.6407591174251999,0.6380002173969448,0.7306088497041655,0.8226081137119234,0.3999938513258075,-5.769686643669008,0.3227462148000054,-6.948388421611038,0.7353100362712044,0.8276849193453953,0.6782156017642775,0.7469056072703502
QTSZ03,0.5690019724060861,0.4779415863396935,0.5955815005047363,0.32278005990639314,0.08596200840640322,-28.946378510284802,0.20924403916825857,-8.062566724242108,0.5632766269729086,0.2849728430438734,0.5321385995850083,0.279456722906275
QTSZ10,0.6343337691620656,0.38447943822398223,0.6690075071998641,0.44536245845807143,0.26040087630128284,-5.627853601164139,0.30596838065570897,-7.843413662463666,0.6135941321121537,-0.9724467003830379,0.6335920255282057,0.18500508563504492
ORSZ02,0.5309832328865064,0.18482582711695184,0.676583219939682,0.59527572093391,0.03793314724540944,-29.52282673668018,0.35010499321661276,-2.507822172505286,0.5975730345678387,0.40584570763879857,0.5560016634856929,0.27103590536056354
NTSZ06,0.26227695303789855,0.08213839995126682,0.2760032197895845,0.007627143852942386,0.038938306511316925,-12.227123102623134,0.07167994143474153,-6.413481219363182,0.19540624648922178,-0.3304736384246445,0.2106222502754506,-0.21768365972856585
RCSZ02,0.45298973995602193,0.2825790343921112,0.5938128103711611,0.5991449183448431,0.09398091146072812,-12.68414812861584,0.27986405862672464,-3.588635063856799,0.5133922516622911,0.11126900001279683,0.56007505488539,0.49439521924548635
PNSZ04,0.6437450910674364,0.7458679038279604,0.7515734875547226,0.9145085890280601,0.4047371911129435,-3.8345760833067857,0.24813446203244557,-15.418579844732946,0.5200786025981592,0.5189150103854829,0.6274364352736048,0.6138814308066641
TNSZ03,0.6508283369848296,0.5489509951844989,0.6994713352275194,0.6004977820834441,0.2703624432391503,-14.206164135309987,0.30985562560506397,-10.297826989396672,0.6763528597055295,0.45288686181218474,0.6374566920423254,0.4843967401799547
NTSZ04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLSZ08,0.613569924368085,0.4468350606163022,0.5827193981944956,0.09305460930637466,0.5621034356702763,-0.6644717144536465,0.320946063257375,-4.272968200592943,0.5574254972715145,0.16498010003823282,0.5505526720972814,0.20869375801730528
TSSZ06,0.7344923390943636,0.9557394340615272,0.780525598428765,0.9658657427077817,0.4750063787470915,-0.2973013350339595,0.5921797301361569,0.5591951087621458,0.5897020149761566,0.8519835039205494,0.7294033533164256,0.9364910444103093
NTSZ05,0.378900839331431,0.17448920518599464,0.5073532751001004,0.4131431500468804,0.0001726741513753848,-24.16341297848858,0.07706284470086572,-27.164106083760124,0.49322937227678204,0.34136286884019407,0.46458257012754073,0.2812508800905311
BDSZ07,0.5698371855263273,0.29705467419888953,0.6643532229449777,0.4332465384376848,0.18878318911770556,-11.622114449434436,0.2377209902673866,-8.796550805735704,0.6444014591139758,0.3313476870209213,0.6104963963166967,0.4294982201043889
CLSZ07,0.5986920328328271,0.29637152188694615,0.6040153990129454,0.0662548500682979,0.3692856277246431,-4.768901289596876,0.43768929058143224,-1.007007521931365,0.5630394020598947,-0.042919409690238775,0.5647468542833672,0.07205606312341828
MUSZ02,0.5884040675640091,0.4494024182813814,0.7091215967020231,0.6592321082778659,0.10011603912310917,-25.595725084352228,0.3026026627323443,-11.088882770672031,0.6925616973736848,0.6103651568591439,0.6661172230466893,0.5639129321037175
MPSZ05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTSZ03,0.5999869977507012,0.3290603100216274,0.7161145938741575,0.4920411772742107,0.05776728840909346,-91.59928615908636,0.2903851568493806,-24.851270219404768,0.5953127998769809,-1.1180744517813754,0.6316696935090864,0.149112626014007
ORSZ03,0.5570560484766667,0.2504989230757326,0.7007293870132675,0.5660895782950071,0.028022962656647665,-79.05538038980686,0.2915151519519001,-5.922530233856113,0.6229240926520033,0.26210519398382814,0.614401986173143,0.3362735773279898
RCSZ09,0.49798111958599195,0.1462708256264571,0.6104600899217295,0.29948869804991385,0.11449093672131608,-20.005208334576874,0.20923074439406308,-10.86769570205021,0.4760714241892958,-0.7142776661577994,0.5261672045910943,0.19304000954558376
TNSZ02,0.6572744283011607,0.5247725954417584,0.7392366621753107,0.786123645119859,0.2556969579192572,-11.277038809820711,0.433150438764077,-1.4680077276469583,0.7296679018206039,0.7442002166398294,0.6420323209073588,0.5215913698540173
PNSZ05,0.6614445346964282,0.7691197947390609,0.7417430747920936,0.8861901706874495,0.364654182492223,-4.635885743000909,0.34580882545739466,-4.239680400087951,0.5964165113489877,0.6762801589042096,0.6597593986148432,0.7500654892215574
JESZ10,0.6263817000316472,0.6238321569954317,0.6009515841662418,0.7146761276853171,0.17692661824668907,-21.06678533232165,0.20630680537555388,-19.05199242547654,0.54933300179184,0.48837327697445077,0.5201189077194227,0.3355153924096439
NTSZ01,0.31012671655309726,0.10406524340876844,0.401186302701584,0.16819465964281421,0.1570488328747079,-6.84798418731412,0.04877636984502448,-20.161359094991422,0.3428685332826618,-0.5667662141094192,0.3451964606428841,0.10308881046365093
KLSZ04,0.6307048531090569,0.5248717165553753,0.7560284397503353,0.801926924035493,0.06641328664989342,-38.62056487778501,0.22763274590313332,-11.789965387147056,0.7253497289896327,0.7573488554658075,0.7096536701977523,0.7102588098684579
RCSZ05,0.5631311891005985,0.2909815631138898,0.6578178705795976,0.45975380637949637,0.07108624704069644,-21.49921450874397,0.33745316135964804,-3.658204530245725,0.5976093961177837,0.2985747531299421,0.6035273808421521,0.4286247242177589
